1701832826.653425 client started (69903): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1701832826.653525 on Darwin 21.6.0 Darwin Kernel Version 21.6.0: Thu Sep 29 20:13:56 PDT 2022; root:xnu-8020.240.7~1/RELEASE_ARM64_T6000
1701832826.653545 using libevent 2.1.12-stable (select); utf8proc 2.9.0; ncurses 6.4
1701832826.653586 flags are 0x10010000
1701832826.653599 socket is /private/tmp/tmux-501/default
1701832826.653631 trying connect
1701832826.653736 add peer 0x160028000: 6 (0x0)
1701832826.658791 sending message 100 to peer 0x160028000 (4 bytes)
1701832826.658830 sending message 111 to peer 0x160028000 (8 bytes)
1701832826.658842 sending message 101 to peer 0x160028000 (16 bytes)
1701832826.658852 sending message 109 to peer 0x160028000 (4 bytes)
1701832826.658863 sending message 102 to peer 0x160028000 (13 bytes)
1701832826.658873 sending message 108 to peer 0x160028000 (73 bytes)
1701832826.659103 sending message 112 to peer 0x160028000 (70 bytes)
1701832826.659118 sending message 112 to peer 0x160028000 (5 bytes)
1701832826.659129 sending message 112 to peer 0x160028000 (5 bytes)
1701832826.659139 sending message 112 to peer 0x160028000 (6 bytes)
1701832826.659149 sending message 112 to peer 0x160028000 (6 bytes)
1701832826.659159 sending message 112 to peer 0x160028000 (11 bytes)
1701832826.659169 sending message 112 to peer 0x160028000 (10 bytes)
1701832826.659179 sending message 112 to peer 0x160028000 (13 bytes)
1701832826.659190 sending message 112 to peer 0x160028000 (13 bytes)
1701832826.659199 sending message 112 to peer 0x160028000 (18 bytes)
1701832826.659209 sending message 112 to peer 0x160028000 (11 bytes)
1701832826.659219 sending message 112 to peer 0x160028000 (21 bytes)
1701832826.659229 sending message 112 to peer 0x160028000 (13 bytes)
1701832826.659238 sending message 112 to peer 0x160028000 (7 bytes)
1701832826.659249 sending message 112 to peer 0x160028000 (13 bytes)
1701832826.659258 sending message 112 to peer 0x160028000 (7 bytes)
1701832826.659268 sending message 112 to peer 0x160028000 (13 bytes)
1701832826.659278 sending message 112 to peer 0x160028000 (9 bytes)
1701832826.659288 sending message 112 to peer 0x160028000 (21 bytes)
1701832826.659298 sending message 112 to peer 0x160028000 (13 bytes)
1701832826.659307 sending message 112 to peer 0x160028000 (8 bytes)
1701832826.659317 sending message 112 to peer 0x160028000 (12 bytes)
1701832826.659327 sending message 112 to peer 0x160028000 (13 bytes)
1701832826.659337 sending message 112 to peer 0x160028000 (9 bytes)
1701832826.659347 sending message 112 to peer 0x160028000 (9 bytes)
1701832826.659357 sending message 112 to peer 0x160028000 (12 bytes)
1701832826.659367 sending message 112 to peer 0x160028000 (8 bytes)
1701832826.659377 sending message 112 to peer 0x160028000 (7 bytes)
1701832826.659387 sending message 112 to peer 0x160028000 (7 bytes)
1701832826.659396 sending message 112 to peer 0x160028000 (9 bytes)
1701832826.659406 sending message 112 to peer 0x160028000 (13 bytes)
1701832826.659416 sending message 112 to peer 0x160028000 (9 bytes)
1701832826.659426 sending message 112 to peer 0x160028000 (15 bytes)
1701832826.659436 sending message 112 to peer 0x160028000 (13 bytes)
1701832826.659446 sending message 112 to peer 0x160028000 (12 bytes)
1701832826.659456 sending message 112 to peer 0x160028000 (8 bytes)
1701832826.659466 sending message 112 to peer 0x160028000 (14 bytes)
1701832826.659476 sending message 112 to peer 0x160028000 (9 bytes)
1701832826.659485 sending message 112 to peer 0x160028000 (10 bytes)
1701832826.659495 sending message 112 to peer 0x160028000 (10 bytes)
1701832826.659505 sending message 112 to peer 0x160028000 (10 bytes)
1701832826.659515 sending message 112 to peer 0x160028000 (10 bytes)
1701832826.659525 sending message 112 to peer 0x160028000 (11 bytes)
1701832826.659535 sending message 112 to peer 0x160028000 (10 bytes)
1701832826.659545 sending message 112 to peer 0x160028000 (8 bytes)
1701832826.659554 sending message 112 to peer 0x160028000 (11 bytes)
1701832826.659564 sending message 112 to peer 0x160028000 (11 bytes)
1701832826.659602 sending message 112 to peer 0x160028000 (11 bytes)
1701832826.659610 sending message 112 to peer 0x160028000 (8 bytes)
1701832826.659617 sending message 112 to peer 0x160028000 (8 bytes)
1701832826.659623 sending message 112 to peer 0x160028000 (8 bytes)
1701832826.659630 sending message 112 to peer 0x160028000 (10 bytes)
1701832826.659637 sending message 112 to peer 0x160028000 (10 bytes)
1701832826.659643 sending message 112 to peer 0x160028000 (10 bytes)
1701832826.659650 sending message 112 to peer 0x160028000 (10 bytes)
1701832826.659656 sending message 112 to peer 0x160028000 (10 bytes)
1701832826.659663 sending message 112 to peer 0x160028000 (11 bytes)
1701832826.659669 sending message 112 to peer 0x160028000 (11 bytes)
1701832826.659676 sending message 112 to peer 0x160028000 (10 bytes)
1701832826.659682 sending message 112 to peer 0x160028000 (9 bytes)
1701832826.659689 sending message 112 to peer 0x160028000 (9 bytes)
1701832826.659695 sending message 112 to peer 0x160028000 (12 bytes)
1701832826.659701 sending message 112 to peer 0x160028000 (9 bytes)
1701832826.659708 sending message 112 to peer 0x160028000 (6 bytes)
1701832826.659714 sending message 112 to peer 0x160028000 (13 bytes)
1701832826.659720 sending message 112 to peer 0x160028000 (8 bytes)
1701832826.659727 sending message 112 to peer 0x160028000 (15 bytes)
1701832826.659733 sending message 112 to peer 0x160028000 (13 bytes)
1701832826.659739 sending message 112 to peer 0x160028000 (70 bytes)
1701832826.659746 sending message 112 to peer 0x160028000 (69 bytes)
1701832826.659752 sending message 112 to peer 0x160028000 (10 bytes)
1701832826.659759 sending message 112 to peer 0x160028000 (8 bytes)
1701832826.659775 sending message 112 to peer 0x160028000 (15 bytes)
1701832826.659790 sending message 112 to peer 0x160028000 (13 bytes)
1701832826.659799 sending message 112 to peer 0x160028000 (10 bytes)
1701832826.659805 sending message 112 to peer 0x160028000 (10 bytes)
1701832826.659812 sending message 112 to peer 0x160028000 (5 bytes)
1701832826.659818 sending message 112 to peer 0x160028000 (15 bytes)
1701832826.659831 sending message 104 to peer 0x160028000 (0 bytes)
1701832826.659846 sending message 110 to peer 0x160028000 (0 bytes)
1701832826.659855 sending message 107 to peer 0x160028000 (4 bytes)
1701832826.659862 sending message 105 to peer 0x160028000 (14 bytes)
1701832826.659868 sending message 105 to peer 0x160028000 (20 bytes)
1701832826.659875 sending message 105 to peer 0x160028000 (22 bytes)
1701832826.659881 sending message 105 to peer 0x160028000 (23 bytes)
1701832826.659888 sending message 105 to peer 0x160028000 (48 bytes)
1701832826.659894 sending message 105 to peer 0x160028000 (41 bytes)
1701832826.659901 sending message 105 to peer 0x160028000 (30 bytes)
1701832826.659907 sending message 105 to peer 0x160028000 (56 bytes)
1701832826.659914 sending message 105 to peer 0x160028000 (14 bytes)
1701832826.659920 sending message 105 to peer 0x160028000 (19 bytes)
1701832826.659927 sending message 105 to peer 0x160028000 (37 bytes)
1701832826.659933 sending message 105 to peer 0x160028000 (30 bytes)
1701832826.659939 sending message 105 to peer 0x160028000 (34 bytes)
1701832826.659946 sending message 105 to peer 0x160028000 (60 bytes)
1701832826.659952 sending message 105 to peer 0x160028000 (22 bytes)
1701832826.659958 sending message 105 to peer 0x160028000 (61 bytes)
1701832826.659964 sending message 105 to peer 0x160028000 (17 bytes)
1701832826.659970 sending message 105 to peer 0x160028000 (19 bytes)
1701832826.659977 sending message 105 to peer 0x160028000 (27 bytes)
1701832826.659983 sending message 105 to peer 0x160028000 (15 bytes)
1701832826.659990 sending message 105 to peer 0x160028000 (54 bytes)
1701832826.659996 sending message 105 to peer 0x160028000 (93 bytes)
1701832826.660002 sending message 105 to peer 0x160028000 (80 bytes)
1701832826.660009 sending message 105 to peer 0x160028000 (193 bytes)
1701832826.660015 sending message 105 to peer 0x160028000 (77 bytes)
1701832826.660038 sending message 105 to peer 0x160028000 (24 bytes)
1701832826.660044 sending message 105 to peer 0x160028000 (15 bytes)
1701832826.660051 sending message 105 to peer 0x160028000 (8 bytes)
1701832826.660057 sending message 105 to peer 0x160028000 (76 bytes)
1701832826.660064 sending message 105 to peer 0x160028000 (66 bytes)
1701832826.660071 sending message 105 to peer 0x160028000 (21 bytes)
1701832826.660077 sending message 105 to peer 0x160028000 (18 bytes)
1701832826.660083 sending message 105 to peer 0x160028000 (26 bytes)
1701832826.660090 sending message 105 to peer 0x160028000 (60 bytes)
1701832826.660096 sending message 105 to peer 0x160028000 (57 bytes)
1701832826.660103 sending message 105 to peer 0x160028000 (43 bytes)
1701832826.660109 sending message 105 to peer 0x160028000 (13 bytes)
1701832826.660115 sending message 105 to peer 0x160028000 (12 bytes)
1701832826.660122 sending message 105 to peer 0x160028000 (14 bytes)
1701832826.660128 sending message 105 to peer 0x160028000 (19 bytes)
1701832826.660134 sending message 105 to peer 0x160028000 (11 bytes)
1701832826.660140 sending message 105 to peer 0x160028000 (7 bytes)
1701832826.660147 sending message 105 to peer 0x160028000 (43 bytes)
1701832826.660153 sending message 105 to peer 0x160028000 (32 bytes)
1701832826.660159 sending message 105 to peer 0x160028000 (25 bytes)
1701832826.660165 sending message 106 to peer 0x160028000 (0 bytes)
1701832826.660278 sending message 200 to peer 0x160028000 (4 bytes)
1701832826.660287 client loop enter
1701832826.662891 peer 0x160028000 message 303
1701832826.662903 open write file 2 -
1701832826.662933 sending message 305 to peer 0x160028000 (8 bytes)
1701832826.662953 write check file 2
1701832826.663082 peer 0x160028000 message 304
1701832826.663093 write 58 to file 2
1701832826.663101 peer 0x160028000 message 203
1701832826.663109 file 2 58 bytes left
1701832826.663129 write check file 2
1701832826.663137 client loop exit
