1701832822.794340 server started (69887): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1701832822.794478 on Darwin 21.6.0 Darwin Kernel Version 21.6.0: Thu Sep 29 20:13:56 PDT 2022; root:xnu-8020.240.7~1/RELEASE_ARM64_T6000
1701832822.794510 using libevent 2.1.12-stable (select); utf8proc 2.9.0; ncurses 6.4
1701832822.794765 input_key_build: 0x10e003 (PasteStart) is \033[200~
1701832822.794788 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1701832822.794811 input_key_build: 0x10e195 (F1) is \033OP
1701832822.794832 input_key_build: 0x10e196 (F2) is \033OQ
1701832822.794851 input_key_build: 0x10e197 (F3) is \033OR
1701832822.794871 input_key_build: 0x10e198 (F4) is \033OS
1701832822.794891 input_key_build: 0x10e199 (F5) is \033[15~
1701832822.794907 input_key_build: 0x10e19a (F6) is \033[17~
1701832822.794923 input_key_build: 0x10e19b (F7) is \033[18~
1701832822.794939 input_key_build: 0x10e19c (F8) is \033[19~
1701832822.794955 input_key_build: 0x10e19d (F9) is \033[20~
1701832822.794970 input_key_build: 0x10e19e (F10) is \033[21~
1701832822.794986 input_key_build: 0x10e19f (F11) is \033[23~
1701832822.795002 input_key_build: 0x10e1a0 (F12) is \033[24~
1701832822.795018 input_key_build: 0x10e1a1 (IC) is \033[2~
1701832822.795033 input_key_build: 0x10e1a2 (DC) is \033[3~
1701832822.795049 input_key_build: 0x10e1a3 (Home) is \033[1~
1701832822.795065 input_key_build: 0x10e1a4 (End) is \033[4~
1701832822.795081 input_key_build: 0x10e1a5 (NPage) is \033[6~
1701832822.795097 input_key_build: 0x10e1a6 (PPage) is \033[5~
1701832822.795113 input_key_build: 0x10e1a7 (BTab) is \033[Z
1701832822.795129 input_key_build: 0x10e1a8 (Up) is \033[A
1701832822.795144 input_key_build: 0x10e1a9 (Down) is \033[B
1701832822.795160 input_key_build: 0x10e1aa (Left) is \033[D
1701832822.795176 input_key_build: 0x10e1ab (Right) is \033[C
1701832822.795192 input_key_build: 0x10e1ac (KP/) is /
1701832822.795208 input_key_build: 0x10e1ad (KP*) is *
1701832822.795224 input_key_build: 0x10e1ae (KP-) is -
1701832822.795240 input_key_build: 0x10e1af (KP7) is 7
1701832822.795256 input_key_build: 0x10e1b0 (KP8) is 8
1701832822.795272 input_key_build: 0x10e1b1 (KP9) is 9
1701832822.795288 input_key_build: 0x10e1b2 (KP+) is +
1701832822.795303 input_key_build: 0x10e1b3 (KP4) is 4
1701832822.795319 input_key_build: 0x10e1b4 (KP5) is 5
1701832822.795334 input_key_build: 0x10e1b5 (KP6) is 6
1701832822.795350 input_key_build: 0x10e1b6 (KP1) is 1
1701832822.795366 input_key_build: 0x10e1b7 (KP2) is 2
1701832822.795381 input_key_build: 0x10e1b8 (KP3) is 3
1701832822.795397 input_key_build: 0x10e1b9 (KPEnter) is \n
1701832822.795413 input_key_build: 0x10e1ba (KP0) is 0
1701832822.795429 input_key_build: 0x10e1bb (KP.) is .
1701832822.795445 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1701832822.795462 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1701832822.795478 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1701832822.795493 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1701832822.795509 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1701832822.795525 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1701832822.795541 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1701832822.795582 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1701832822.795599 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1701832822.795615 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1701832822.795631 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1701832822.795647 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1701832822.795663 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1701832822.795679 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1701832822.795695 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1701832822.795711 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1701832822.795727 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1701832822.795743 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1701832822.795759 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1701832822.795800 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1701832822.795811 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1701832822.795822 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1701832822.795832 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1701832822.795843 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1701832822.795853 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1701832822.795863 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1701832822.795873 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1701832822.795883 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1701832822.795893 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1701832822.795903 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1701832822.795914 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1701832822.795924 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1701832822.795934 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1701832822.795944 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1701832822.795955 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1701832822.795965 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1701832822.795975 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1701832822.795986 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1701832822.795996 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1701832822.796006 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1701832822.796017 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1701832822.796027 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1701832822.796037 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1701832822.796048 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1701832822.796058 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1701832822.796068 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1701832822.796078 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1701832822.796089 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1701832822.796099 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1701832822.796109 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1701832822.796120 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1701832822.796130 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1701832822.796140 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1701832822.796151 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1701832822.796161 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1701832822.796172 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1701832822.796182 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1701832822.796192 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
